Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Michael Ball		https://www.bbc.co.uk/programmes/b0091xz9	Michael Ball	The Sandman series by Neil Gaiman	Cloudy Bay Sauvignon Blanc from the Marlborough district of New Zealand	Sailing By by Ronald Binge	Kirsty Young	2008-03-02	11:15	Camille Saint‐Saëns	Symphony No. 3 in C minor 'Organ' - 1st movement	Mahalia Jackson	Trouble Of The World	Dinah Washington	September In The Rain	Joni Mitchell	Carey	Ronald Binge	Sailing By	Garth Brooks	The Dance	Ethel Merman	Overture	Supertramp	If Everyone Was Listening
David Dimbleby		https://www.bbc.co.uk/programmes/b0090g5l	David Dimbleby	Collected essays by Michel de Montaigne	A collection of drawing books, pencils and varnish	Song that You'd Like by Kate Dimbleby Band	Kirsty Young	2008-02-24	11:15	Franz Schubert	String Quintet in C major - 2nd movement	Kate Dimbleby Band	Song that You'd Like	Blind Boy Fuller	You Can Never Tell	David Lloyd	Anabelle Lee	Ivry Gitlis	Sonata for Solo Violin	Benjamin Britten	Four Sea Interludes from Peter Grimes - Dawn	George Frideric Handel	Non disperar, chi sa? (from Giulio Cesare)	Henry Purcell	When I am laid in earth (Dido's Lament) (from Dido and Aeneas)
Martin Evans		https://www.bbc.co.uk/programmes/b008yn16	Martin Evans	Largest anthology of poetry possible	A microscope, equipment and a stack of notebooks	Their Sound is Gone Out in All Lands by George Frideric Handel	Kirsty Young	2008-02-17	11:15	Sergey Rachmaninov	Piano Concerto No. 2 in C minor -3rd movement	Tommy Steele	Singing the Blues	Édith Piaf	Non, Je Ne Regrette Rien	The Desmonds	Germans in the Shower	George Frideric Handel	Their sound is gone out (from Messiah)	Bryn Terfel	Land of My Fathers	The Broadway Cast	Do You Hear the People Sing?	Rutland Boughton	How Beautiful They Are, the Lordly Ones
Oleg Gordievsky		https://www.bbc.co.uk/programmes/b008wv25	Oleg Gordievsky	Encyclopaedia Britannica	Good toiletries for my bath	Erbarme Dich by Johann Sebastian Bach	Kirsty Young	2008-02-10	11:15	Wolfgang Amadeus Mozart	Piano Concerto No. 23 in A major - 2nd movement	Фёдор Шаляпин	Song Of The Volga Boatmen	Richard Wagner	Liebestod (from Tristan und Isolde)	Marlene Dietrich	Peter	Iannis Xenakis	Herma	Ludwig van Beethoven	1st Movement of String Quartet in E flat Major	Johann Sebastian Bach	St Matthew Passion - Erbarme dich	Paul Lincke	Berliner Luft
Beryl Bainbridge		https://www.bbc.co.uk/programmes/b008vkv4	Beryl Bainbridge	The Case Books by John Hunter	Pens and Paper	Can I Forget You? by Richard Tauber	Kirsty Young	2008-02-03	11:15	Connee Boswell	Silver Threads Among the Gold	The Beatles	Eleanor Rigby	Richard Tauber	Can I Forget You?	Vera Lynn	Kiss Me Goodnight Sergeant Major	Richard Harris	MacArthur Park	Rolf Harris	Two Little Boys	Meat Loaf	Bat Out Of Hell	David Bowie	Space Oddity
Rory Stewart		https://www.bbc.co.uk/programmes/b008pdqp	Rory Stewart	A parallel text of the Bhagvad Gita	A ceramic bowl from the village of Istalif in Afghanistan	Die Forelle by Franz Schubert	Kirsty Young	2008-01-20	11:15	Sophie Ramsay	The Laird O'Cockpen	Arthur Sullivan	I am the very model (from The Pirates of Penzance)	The Regimental Band of the Black Watch	The Barren Rocks of Aden	Dub Specialists	Gunman Mix	Ted Hughes	Little Gidding	Franz Schubert	Die Forelle (The Trout), D550	R Khushnawaz, G Mohammad, A Hassanpur	Jâm-e Nârenji	Don Edwards	Coyotes
Simon Rattle		https://www.bbc.co.uk/programmes/b008nbyy	Simon Rattle	Don Quixote by Miguel de Cervantes	Italian coffee machine and grinder	Scherza Infida from Ariodante by George Frideric Handel	Kirsty Young	2008-01-13	11:15	Gustav Mahler	Symphony No. 9 in D major - 1st movement	Joni Mitchell	Sometimes I'm Happy	Johann Sebastian Bach	Brandenburg Concerto No. 1 in F major - 1st movement	Leos Janáček	The Cunning Little Vixen Act 3 (finale)	Wolfgang Amadeus Mozart	Serenade No. 10 in B flat major for 13 Wind Instruments - 3rd movement	Joseph Haydn	The great work is completed (from The Creation)	Robert Schumann	Sleep on and rest in dreams (from Paradise and the Peri)	George Frideric Handel	Scherza infida (from Ariodante)
John Humphrys		https://www.bbc.co.uk/programmes/b008m3h1	John Humphrys	Biggest poetry anthology possible	A cello	Opening of Cello Concerto by Edward Elgar	Kirsty Young	2008-01-06	11:15	Ella Fitzgerald	Manhattan	Pendyrus Male Choir	Myfanwy	Duke Ellington	Take the A Train	Don McLean	Vincent	Teal Choir	Nkosi Sikelel' iAfrika	Ludwig van Beethoven	Violin Concerto in D major - 2nd movement	Edward Elgar	Cello Concerto in E minor - 1st movement	Jerry Lee Lewis	Great Balls of Fire
Karren Brady		https://www.bbc.co.uk/programmes/b008hyk1	Karren Brady	Pride and Prejudice by Jane Austen	My own pillow	Total Eclipse of the Heart by Bonnie Tyler	Kirsty Young	2007-12-30	11:15	Carole King	(You Make Me Feel Like) A Natural Woman	ABBA	Dancing Queen	Wham!	Last Christmas	The Jam	Town Called Malice	Meat Loaf	I'd Do Anything for Love (But I Won't Do That)	Lenny Kravitz	Heaven Help	Bonnie Tyler	Total Eclipse Of The Heart	Diddy & Faith Evans & 112	I'll Be Missing You
Victoria Wood		https://www.bbc.co.uk/programmes/b008kkcg	Victoria Wood	A big book by Charles Dickens	A bumper book of Sudoku with blank pages & pens	What a Fool Believes by The Doobie Brothers	Kirsty Young	2007-12-23	11:15	Randy Newman	Marie	Weather Report	Birdland	Gidon Kremer	Soledad	Mr. Scruff	Get a Move On	Tom Waits	Misery is the River of the World	The Doobie Brothers	What A Fool Believes	Arvo Pärt	Tabula Rasa	John Rutter	The Shepherd's Pipe Carol
Paul Weller		https://www.bbc.co.uk/programmes/b008gh41	Paul Weller	Absolute Beginners by Colin MacInnes	A settee to sit on	Tin Soldier by The Small Faces	Kirsty Young	2007-12-16	11:15	Small Faces	Tin Soldier	Dinah Washington	September in the Rain	Charles Mingus	Better Get Hit in Yo' Soul	James Brown	Don't Be A Dropout	Claude Debussy	Arabesque No. 1	Declan O’Rourke	Galileo (Someone Like You)	Nick Drake	River Man	Roscoe Robinson	That's Enough
Alec Jeffreys		https://www.bbc.co.uk/programmes/b008fcdz	Alec Jeffreys	Complete books of Flashman by George MacDonald Fraser	World's Biggest Church Organ	The Opening of Fugue in D Minor by Johann Sebastian Bach	Kirsty Young	2007-12-09	11:15	Johann Sebastian Bach	Fugue in D minor	The Beach Boys	I Get Around	Tina Turner	The Best	Darude	Feel the Beat	Charles Penrose	The Laughing Policeman	Leonard Cohen	Famous Blue Raincoat	The Killers	All These Things That I've Done	Engelbert Humperdinck	Release Me
Steven Isserlis		https://www.bbc.co.uk/programmes/b008d1y8	Steven Isserlis	The collected works by Anthony Trollope	A huge, huge photo album of friends	Erbarme Dich - Have Mercy Lord on Me by Johann Sebastian Bach	Kirsty Young	2007-12-02	11:15	Franz Schubert	Fantasia in F minor, D940	Robert Schumann	Symphony No. 1 in B flat major 'Spring' - 1st movement	The Beatles	I'm Only Sleeping	Terry Jones	I'm So Worried	Johann Sebastian Bach	St Matthew Passion - Erbarme dich	Ludwig van Beethoven	String Quartet No. 13 in B flat major, Op. 130 - 5th movement	Hoffnung and Charles Richardson	Hoffnung in Conversation with Charles Richardson	Gabriel Fauré	Tantum ergo
Armistead Maupin		https://www.bbc.co.uk/programmes/b008chj2	Armistead Maupin	The Cole Porter Songbook by Cole Porter	Vaporiser	The reprise of Wicked Little Town by Tommy Gnosis	Kirsty Young	2007-11-25	11:15	Patti Page	Mockin' Bird Hill	Audrey Hepburn	Moon River	Eagles	Desperado	Liza Minnelli	Maybe This Time	Julie Andrews and Tony Roberts	You and Me (from Victor/Victoria)	k.d. lang	Hallelujah	John Mayer	The Heart of Life	Tommy Gnosis	The reprise of Wicked Little Town
Eliza Manningham-Buller		https://www.bbc.co.uk/programmes/b00898xv	Eliza Manningham-Buller	The Rattlebag: An Anthology of Poetry by Ted Hughes	Large supply of pencils and pens	The opening of String Quintet in C by Franz Schubert	Kirsty Young	2007-11-18	11:15	Johann Sebastian Bach	Sarabande from English Suite No 2 in A Minor	Wolfgang Amadeus Mozart	Requiem in D minor - Kyrie	The White Stripes	I Just Don't Know What to Do with Myself	The Rolling Stones	Street Fighting Man	Franz Schubert	String Quintet in C major - 1st movement	Soweto String Quartet	Millennia	Ella Fitzgerald	Do I Love You?	Ludwig van Beethoven	Symphony No. 7 in A major
Jung Chang		https://www.bbc.co.uk/programmes/b0088vmz	Jung Chang	First Love by Ivan Turgenev	Snorkelling gear	But Thou Didst Not leave His Soul in Hell by George Frideric Handel	Kirsty Young	2007-11-16	09:00	Les Moines de l’abbaye de Notre Dame of Ganagobie	The Kyrie X111	George Frideric Handel	But thou didst not leave (from Mesiah)	Xu & Wang Wenjuan	The Dream of the Red Chamber	Frédéric Chopin	Nocturne in C Sharp Minor	Wang Xiangrong	The Boatman of the Yellow River	Ben Webster	One for the Gov'nor	Wolfgang Amadeus Mozart	Missa Brevis - Kyrie	Billie Holiday	Lady Sings the Blues
Nicholas Parsons		https://www.bbc.co.uk/programmes/b0084xjx	Nicholas Parsons	Oxford Anthology of English Poetry - John Wain	Portable radio with an endless supply of batteries	Children Will Listen by Barbra Streisand Book: Oxford Anthology of English Poetry by John Wain Luxury: Portable radio with an endless supply of batteries	Kirsty Young	2007-11-04	11:15	Louis Armstrong	What A Wonderful World	The Oscar Peterson Trio	Night Train	Nat King Cole	Unforgettable	Ella Fitzgerald	Just One of Those Things	Fifth Dimension	Age of Aquarius from the musical Hair	Frédéric Chopin	Waltz in D flat major, Op. 64/1 'Minute Waltz'	Barbra Streisand	Children Will Listen (from Sondheim's Into the Woods)	Dmitry Shostakovich	Piano Concerto No.1 in C minor (Concerto for Piano, Trumpet and Strings)
Lord Joffe		https://www.bbc.co.uk/programmes/b0084b4l	Lord Joffe	A Long Walk to Freedom by Nelson Mandela	Wind-up radio	Under Milk Wood by Richard Burton	Kirsty Young	2007-10-28	11:15	Sontonga	Nkosi sikelel' iAfrika	Bashir Am Israelim	Hava Nagila	Ludwig van Beethoven	Violin Concerto in D major - 3rd movement	Joan Baez	There But For Fortune	Hubert Parry	Jerusalem	Julie Andrews	Without You	Joan Baez	We Shall Overcome	Dylan Thomas	Under Milk Wood
Ronnie Corbett		https://www.bbc.co.uk/programmes/b00827lh	Ronnie Corbett	Untold Stories by Alan Bennett	A hammock	Music Maestro Please by Ann Hart	Kirsty Young	2007-10-21	11:15	Fred Astaire	Change Partners	Glasgow Orpheus Choir	By Cool Siloam's Shady Rill	Mel Tormé and the Marty Paich Dek-Tette	Walk Between Raindrops	Danny La Rue	I'll Be Seeing You	Ann Hart	Music Maestro Please	Leonard Bernstein	Candide (Overture)	Bobby Short	I Like the Likes of You	Anthony Newley	Look at That Face
Jill Balcon		https://www.bbc.co.uk/programmes/b00818qm	Jill Balcon	The collected works by Thomas Hardy	A barrel of Guerlain Jicky perfume	Romanza: the 3rd movement of Symphony No 5 in D Major by Vaughan Williams	Kirsty Young	2007-10-14	11:15	Franz Schubert	Auf dem Wasser zu singen (To be Sung upon the Water), D774	Wolfgang Amadeus Mozart	Piano Concerto in B flat major - 3rd movement	Ralph Vaughan Williams	Symphony No. 5 in D major - 3rd movement	Ludwig van Beethoven	Piano Sonata No. 21 in C major, Op. 53 - 3rd movement	Peter Cook	Sitting on the Bench	Charles Trenet	La Mer	Leos Janáček	String Quartet No. 2 'Intimate Letters'	Ella Fitzgerald	Let's Do It
Alan Johnson		https://www.bbc.co.uk/programmes/b0080mb3	Alan Johnson	Diaries by Samuel Pepys	Digital radio	And Your Bird Can Sing by The Beatles	Kirsty Young	2007-10-07	11:15	The Beatles	And Your Bird Can Sing	Elvis Costello & The Attractions	You Little Fool	The Easybeats	Friday On My Mind	David Bowie	Drive in Saturday	Neil Young	A Man Needs a Maid	Gustav Mahler	Symphony No. 5 in C sharp minor - 4th movement (Adagietto)	Super Furry Animals	Cityscape Skybaby	Halima	Beneath The Sun
George Michael		https://www.bbc.co.uk/programmes/b008006s	George Michael	Any book of short stories by Doris Lessing	DB9 car	Love is a Losing Game by Amy Winehouse	Kirsty Young	2007-09-30	11:15	Amy Winehouse	Love is a Losing Game	Roxy Music	Do The Strand	Gnarls Barkley	Crazy	Nirvana	Smells Like Teen Spirit	Pet Shop Boys	Being Boring	Goldfrapp	Paper Bag	Ye	Gold Digger	Rufus Wainwright	Going to a Town
Vladimir Jurowski		https://www.bbc.co.uk/programmes/b007w97r	Vladimir Jurowski	Complete Works by Aleksandr Pushkin	A piano	Variations 29 & 30 by Johann Sebastian Bach	Kirsty Young	2007-08-19	11:15	Johann Sebastian Bach	Goldberg Variations  - Variations Nos. 29 & 30	Ludwig van Beethoven	Symphony No. 7 in A major - 2nd movement	Johann Sebastian Bach	Christmas Oratorio - 3rd Cantata (opening)	Gustav Mahler	Symphony No. 5 in C sharp minor - 4th movement	Wolfgang Amadeus Mozart	Requiem in D minor	Franz Schubert	Die Krähe (The Crow) (from Winterreise)	Arvo Pärt	Requiem in D minor - Dies Irae	Pyotr Ilyich Tchaikovsky	Symphony No. 6 in B minor 'Pathétique' - 4th movement
Felix Dennis		https://www.bbc.co.uk/programmes/b007vvsq	Felix Dennis	The Dictionary of National Biography	A very long stainless steel shaft to encourage pole-dancing mermaids!	One Too Many Mornings by Bob Dylan	Kirsty Young	2007-08-12	11:15	Bob Dylan	One Too Many Mornings	Robert Johnson	Come Into My Kitchen	John Mayall & The Bluesbreakers With Eric Clapton	Have You Heard?	Charlie Parker & Dizzy Gillespie	Bloomdido	John Lennon & Plastic Ono Band	Mother	Peggy Lee	You Came A Long Way from St Louis	Chuck Berry	Memphis, Tennessee	Frank Sinatra	Bim Bam Baby
Andrew Davies		https://www.bbc.co.uk/programmes/b007vcs4	Andrew Davies	Great Expectations by Charles Dickens	Endless supply of Mojitos	Hiawatha Rag by Chris Barber Band Box	Kirsty Young	2007-08-05	11:15	Ludwig van Beethoven	Violin Concerto in D major - 3rd movement	Benjamin Britten	Kyrie (from Missa brevis in D major)	Chris Barber Band Box	Hiawatha Rag	Leonard Bernstein	Opening Theme (from On the Waterfront)	The Jimmy Giuffre Trio	Train and the River	Bonnie Tyler	Total Eclipse Of The Heart	Françoise Hardy	La Maison Ou J'ai Grandi	Gabriel Fauré	In Paradisum (from Requiem), Op 48
Nicola Horlick		https://www.bbc.co.uk/programmes/b007tw2p	Nicola Horlick	The Alchemist by Paulo Coelho	A bath	A Cenar Teco from the final Act of Don Giovanni by Wolfgang Amadeus Mozart	Kirsty Young	2007-07-29	11:15	Richard Rodgers	My Favorite Things (The Sound of Music)	Simon & Garfunkel	The Boxer	Gabriel Fauré	Pie Jesu (from Requiem)	Modest Mussorgsky	First promenade (from Pictures at an Exhibition)		Don Giovanni, a cenar teco (from Don Giovanni)	Howard Blake	Walking in the Air	Bryan Adams	Heaven	Wolfgang Amadeus Mozart	Violin Sonata
Thomas Keneally		https://www.bbc.co.uk/programmes/b007t9tg	Thomas Keneally	Collected Plays by George Bernard Shaw	Can of Beluga caviar, spoon and tin opener	Herz und Mund und Tat Und Leben- Heart & Mind & Deed & Life by Johann Sebastian Bach	Kirsty Young	2007-07-22	11:15	George Frideric Handel	Lascia ch'io pianga (from Rinaldo)	The Pogues & Kirsty MacColl	Fairytale Of New York	Johann Sebastian Bach	Cantata No. 147: Herz und mund und Tat und Leben	Joseph Canteloube	Bäilèro (from Songs of  the Auvergne)	The Bushwackers	Lachlan Tigers	The Chieftains	Red is the Rose (with Nanci Griffith)	John Williams	Theme from Schindler's List	Shaun Davey	The Parting Glass from the Soundtrack to Waking Ned
Oliver Postgate		https://www.bbc.co.uk/programmes/b007snc7	Oliver Postgate	Huge book of English Poetry	A comfortable bed	When the Saints Come Marching In by Pete Fountain	Kirsty Young	2007-07-15	11:15	Johann Sebastian Bach	Brandenburg Concerto No. 2 in F major	Josh White	The Lass with the Delicate Air	Frederick Delius	Summer Evening	Pete Fountain	When the Saints Come Marching In	The Vernon Elliot Ensemble	Graculus's Memory Music	Pyatnitsky State Russian Folk Choir	Steppe, Oh Steppe Around	Thijs van Leer	Introspection Two	Édith Piaf	Non, Je Ne Regrette Rien
Simon Russell Beale		https://www.bbc.co.uk/programmes/b007rwff	Simon Russell Beale	Book on medieval history	Daily Araucaria crossword	First Movement of 4th Symphony by Ludwig van Beethoven	Kirsty Young	2007-07-08	11:15	Johann Sebastian Bach	Brandenburg Concerto No. 1 in F major - 1st movement	Herbert Howells	A Spotless Rose (3 Carol-anthems)	Gustav Mahler	Symphony No. 8 in E flat major 'Symphony of a Thousand' - 1st movement	Felix Mendelssohn	Octet for Strings in E flat major -1st movement	Ludwig van Beethoven	Symphony No. 4 in B flat major - 1st movement	Jean Sibelius	Violin Concerto in D minor - 1st movement	Peter Warlock	Capriol Suite - 5th movement	Maurice Ravel	Rapsodie espagnol - 4th movement
Wangari Maathai		https://www.bbc.co.uk/programmes/b007rd3j	Wangari Maathai	The Koran	A huge basket of fruit	I Can't Complain by Patti LaBelle	Kirsty Young	2007-07-01	11:15	Eric Wainaima	Ritwa Riaku	Harry Belafonte	Day-O	Angélique Kidjo	Malaika	Patti LaBelle	I Can't Complain	Joan Baez	We Shall Overcome	Miriam Makeba	Eyes on Tomorrow	Frank Sinatra	Moon River	All Angels	Ave Maria
Ricky Gervais		https://www.bbc.co.uk/programmes/b007qsrj	Ricky Gervais	A coffee table book of art	Vat of novocaine - a non-addictive pain-killer	Lilywhite by Cat Stevens	Kirsty Young	2007-06-24	11:15	Bob Dylan	If You See Her, Say Hello	Yusuf Islam	Lilywhite	Sex Pistols	Anarchy in the UK	Neil Young	After The Gold Rush	Radiohead	Bones	David Bowie	Letter To Hermione	Jimmy Webb	Galveston	Willie Nelson	Always on My Mind
Christy Moore		https://www.bbc.co.uk/programmes/b007ptxs	Christy Moore	Collection of Popular Songs of England & Scotland by Francis Child	A set of Uillean pipes	Taimse Im' Chodladh by Planxty	Kirsty Young	2007-06-17	11:15	Felicity Lott	Ave Maria	Christy Moore	A Stitch in Time - Live	Paul Anka	Lonely Boy	The Clancy Brothers and Tommy Makem	Brennan On the Moor	Planxty	Taimse Im' Chodladh	Luke Kelly	Joe Hill	Ewan MacColl	The Joy of Living	John Reilly	The Raggle Taggle Gypsy
Yoko Ono		https://www.bbc.co.uk/programmes/b007nc7n	Yoko Ono	Sai-Yu-Ki	My life for the next thirty years	Beautiful Boy by John Lennon	Kirsty Young	2007-06-10	11:15	Édith Piaf	Non, Je Ne Regrette Rien	Lale Andersen	Lilli Marlene	Dominic Behan	Liverpool Lou	Bob Marley & The Wailers	One Love / People Get Ready	Gracie Fields	When I Grow Too Old To Dream	John Lennon	Beautiful Boy	Sean Lennon	Magic	amiina	Seoul
